"행정구역","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년02월_남여 비율"
"서울특별시 강서구 (1150000000)","573,531","272,216","          2.11","275,710","297,821","          0.93"
"서울특별시 강서구 염창동(1150051000)","41,604","16,318","          2.55","20,098","21,506","          0.93"
"서울특별시 강서구 등촌제1동(1150052000)","24,322","13,721","          1.77","11,256","13,066","          0.86"
"서울특별시 강서구 등촌제2동(1150053000)","20,222","8,684","          2.33","9,868","10,354","          0.95"
"서울특별시 강서구 등촌제3동(1150053500)","30,546","15,155","          2.02","14,432","16,114","          0.90"
"서울특별시 강서구 화곡제1동(1150054000)","51,915","27,925","          1.86","25,250","26,665","          0.95"
"서울특별시 강서구 화곡제2동(1150055000)","17,760","8,201","          2.17","8,610","9,150","          0.94"
"서울특별시 강서구 화곡제3동(1150056000)","21,592","9,729","          2.22","10,300","11,292","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","20,484","9,774","          2.10","10,019","10,465","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","34,233","17,392","          1.97","16,582","17,651","          0.94"
"서울특별시 강서구 화곡제6동(1150059100)","24,952","12,765","          1.95","12,048","12,904","          0.93"
"서울특별시 강서구 화곡제8동(1150059300)","24,384","11,886","          2.05","11,758","12,626","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","34,099","20,604","          1.65","15,565","18,534","          0.84"
"서울특별시 강서구 가양제2동(1150060400)","13,971","8,048","          1.74","6,610","7,361","          0.90"
"서울특별시 강서구 가양제3동(1150060500)","14,946","7,886","          1.90","6,940","8,006","          0.87"
"서울특별시 강서구 발산제1동(1150061100)","36,273","13,454","          2.70","17,106","19,167","          0.89"
"서울특별시 강서구 우장산동(1150061500)","42,803","16,125","          2.65","20,476","22,327","          0.92"
"서울특별시 강서구 공항동(1150062000)","30,719","14,065","          2.18","15,501","15,218","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","42,734","17,238","          2.48","20,796","21,938","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","23,277","11,982","          1.94","11,494","11,783","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","22,695","11,264","          2.01","11,001","11,694","          0.94"
